isco88_1digit;isco88_1digit_label;isco88_2digit;isco88_2digit_label;isco88_3digit;isco88_3digit_label;isco88_4digit;isco88_4digit_label
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;828;ASSEMBLERS ;8285;Wood and related products assemblers
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;828;ASSEMBLERS ;8286;Paperboard, textile and related products assemblers
8;Plant and Machine Operators and Assemblers;82;Machine Operators And Assemblers;829;OTHER MACHINE OPERATORS AND ASSEMBLERS ;8290;Other machine operators and assemblers
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;831;LOCOMOTIVE-ENGINE DRIVERS AND RELATED WORKERS ;8311;Locomotive-engine drivers
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;831;LOCOMOTIVE-ENGINE DRIVERS AND RELATED WORKERS ;8312;Railway brakers, signallers and shunters
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;832;MOTOR-VEHICLE DRIVERS ;8321;Motor-cycle drivers
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;832;MOTOR-VEHICLE DRIVERS ;8322;Car, taxi and van drivers
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;832;MOTOR-VEHICLE DRIVERS ;8323;Bus and tram drivers
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;832;MOTOR-VEHICLE DRIVERS ;8324;Heavy-truck and lorry drivers
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;833;AGRICULTURAL AND OTHER MOBILE-PLANT OPERATORS ;8331;Motorised farm and forestry plant operators
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;833;AGRICULTURAL AND OTHER MOBILE-PLANT OPERATORS ;8332;Earth-moving- and related plant operators
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;833;AGRICULTURAL AND OTHER MOBILE-PLANT OPERATORS ;8333;Crane, hoist and related plant operators
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;833;AGRICULTURAL AND OTHER MOBILE-PLANT OPERATORS ;8334;Lifting-truck operators
8;Plant and Machine Operators and Assemblers;83;Drivers And Mobile-Plant Operators;834;SHIPS' DECK CREWS AND RELATED WORKERS ;8340;Ships' deck crews and related workers
9;Elementary Occupations;91;Sales And Services Elementary Occupations;911;STREET VENDORS AND RELATED WORKERS ;9111;Street food vendors
9;Elementary Occupations;91;Sales And Services Elementary Occupations;911;STREET VENDORS AND RELATED WORKERS ;9112;Street vendors, non-food products
9;Elementary Occupations;91;Sales And Services Elementary Occupations;911;STREET VENDORS AND RELATED WORKERS ;9113;Door-to-door and telephone salespersons
9;Elementary Occupations;91;Sales And Services Elementary Occupations;912;SHOE CLEANING AND OTHER STREET SERVICES ELEMENTARY OCCUPATIONS ;9120;Shoe cleaning and other street services elementary occupations
9;Elementary Occupations;91;Sales And Services Elementary Occupations;913;DOMESTIC AND RELATED HELPERS, CLEANERS AND LAUNDERERS ;9131;Domestic helpers and cleaners
9;Elementary Occupations;91;Sales And Services Elementary Occupations;913;DOMESTIC AND RELATED HELPERS, CLEANERS AND LAUNDERERS ;9132;Helpers and cleaners in offices, hotels and other establishments
9;Elementary Occupations;91;Sales And Services Elementary Occupations;913;DOMESTIC AND RELATED HELPERS, CLEANERS AND LAUNDERERS ;9133;Hand-launderers and pressers
9;Elementary Occupations;91;Sales And Services Elementary Occupations;914;BUILDING CARETAKERS, WINDOW AND RELATED CLEANERS ;9141;Building caretakers
9;Elementary Occupations;91;Sales And Services Elementary Occupations;914;BUILDING CARETAKERS, WINDOW AND RELATED CLEANERS ;9142;Vehicle, window and related cleaners
9;Elementary Occupations;91;Sales And Services Elementary Occupations;915;MESSENGERS, PORTERS, DOORKEEPERS AND RELATED WORKERS ;9151;Messengers, package and luggage porters and deliverers
9;Elementary Occupations;91;Sales And Services Elementary Occupations;915;MESSENGERS, PORTERS, DOORKEEPERS AND RELATED WORKERS ;9152;Doorkeepers, watchpersons and related workers
9;Elementary Occupations;91;Sales And Services Elementary Occupations;915;MESSENGERS, PORTERS, DOORKEEPERS AND RELATED WORKERS ;9153;Vending-machine money collectors, meter readers and related workers
9;Elementary Occupations;91;Sales And Services Elementary Occupations;916;GARBAGE COLLECTORS AND RELATED LABOURERS ;9161;Garbage collectors
9;Elementary Occupations;91;Sales And Services Elementary Occupations;916;GARBAGE COLLECTORS AND RELATED LABOURERS ;9162;Sweepers and related labourers
9;Elementary Occupations;92;Agricultural, Fishery And Related Labourers;921;AGRICULTURAL, FISHERY AND RELATED LABOURERS ;9211;Farm-hands and labourers
9;Elementary Occupations;92;Agricultural, Fishery And Related Labourers;921;AGRICULTURAL, FISHERY AND RELATED LABOURERS ;9212;Forestry labourers
9;Elementary Occupations;92;Agricultural, Fishery And Related Labourers;921;AGRICULTURAL, FISHERY AND RELATED LABOURERS ;9213;Fishery, hunting and trapping labourers
9;Elementary Occupations;93;Labourers In Mining, Construction, Manufacturing And Transport;931;MINING AND CONSTRUCTION LABOURERS ;9311;Mining and quarrying labourers
9;Elementary Occupations;93;Labourers In Mining, Construction, Manufacturing And Transport;931;MINING AND CONSTRUCTION LABOURERS ;9312;Construction and maintenance labourers: roads, dams and similar constructions
9;Elementary Occupations;93;Labourers In Mining, Construction, Manufacturing And Transport;931;MINING AND CONSTRUCTION LABOURERS ;9313;Building construction labourers
9;Elementary Occupations;93;Labourers In Mining, Construction, Manufacturing And Transport;932;MANUFACTURING LABOURERS ;9321;Assembling labourers
9;Elementary Occupations;93;Labourers In Mining, Construction, Manufacturing And Transport;932;MANUFACTURING LABOURERS ;9322;Hand packers and other manufacturing labourers
9;Elementary Occupations;93;Labourers In Mining, Construction, Manufacturing And Transport;933;TRANSPORT LABOURERS AND FREIGHT HANDLERS;9331;Hand or pedal vehicle drivers
9;Elementary Occupations;93;Labourers In Mining, Construction, Manufacturing And Transport;933;TRANSPORT LABOURERS AND FREIGHT HANDLERS;9332;Drivers of animal-drawn vehicles and machinery
9;Elementary Occupations;93;Labourers In Mining, Construction, Manufacturing And Transport;933;TRANSPORT LABOURERS AND FREIGHT HANDLERS;9333;Freight handlers
-9;Undefined;-99;Undefined;-999;Undefined;-9999;Undefined
