isco88_1digit;isco88_1digit_label;isco88_2digit;isco88_2digit_label;isco88_3digit;isco88_3digit_label;isco88_4digit;isco88_4digit_label
2;Professionals;22;Life Science And Health Professionals;222;HEALTH PROFESSIONALS (except nursing) ;2222;Dentists
2;Professionals;22;Life Science And Health Professionals;222;HEALTH PROFESSIONALS (except nursing) ;2223;Veterinarians
2;Professionals;22;Life Science And Health Professionals;222;HEALTH PROFESSIONALS (except nursing) ;2224;Pharmacists
2;Professionals;22;Life Science And Health Professionals;222;HEALTH PROFESSIONALS (except nursing) ;2229;Health professionals (except nursing) not elsewhere classified
2;Professionals;22;Life Science And Health Professionals;223;NURSING AND MIDWIFERY PROFESSIONALS ;2230;Nursing and midwifery professionals
2;Professionals;23;Teaching Professionals;231;COLLEGE, UNIVERSITY AND HIGHER EDUCATION TEACHING PROFESSIONALS ;2310;College, university and higher education teaching professionals
2;Professionals;23;Teaching Professionals;232;SECONDARY EDUCATION TEACHING PROFESSIONALS ;2320;Secondary education teaching professionals
2;Professionals;23;Teaching Professionals;233;PRIMARY AND PRE-PRIMARY EDUCATION TEACHING PROFESSIONALS ;2331;Primary education teaching professionals
2;Professionals;23;Teaching Professionals;233;PRIMARY AND PRE-PRIMARY EDUCATION TEACHING PROFESSIONALS ;2332;Pre-primary education teaching professionals
2;Professionals;23;Teaching Professionals;234;SPECIAL EDUCATION TEACHING PROFESSIONALS ;2340;Special education teaching professionals
2;Professionals;23;Teaching Professionals;235;OTHER TEACHING PROFESSIONALS ;2351;Education methods specialists
2;Professionals;23;Teaching Professionals;235;OTHER TEACHING PROFESSIONALS ;2352;School inspectors
2;Professionals;23;Teaching Professionals;235;OTHER TEACHING PROFESSIONALS ;2359;Other teaching professionals not elsewhere classified
2;Professionals;24;Other Professionals;241;BUSINESS PROFESSIONALS ;2411;Accountants
2;Professionals;24;Other Professionals;241;BUSINESS PROFESSIONALS ;2412;Personnel and careers professionals
2;Professionals;24;Other Professionals;241;BUSINESS PROFESSIONALS ;2419;Business professionals not elsewhere classified
2;Professionals;24;Other Professionals;242;LEGAL PROFESSIONALS ;2421;Lawyers
2;Professionals;24;Other Professionals;242;LEGAL PROFESSIONALS ;2422;Judges
2;Professionals;24;Other Professionals;242;LEGAL PROFESSIONALS ;2429;Legal professionals not elsewhere classified
2;Professionals;24;Other Professionals;243;ARCHIVISTS, LIBRARIANS AND RELATED INFORMATION PROFESSIONALS ;2431;Archivists and curators
2;Professionals;24;Other Professionals;243;ARCHIVISTS, LIBRARIANS AND RELATED INFORMATION PROFESSIONALS ;2432;Librarians and related information professionals
2;Professionals;24;Other Professionals;244;SOCIAL SCIENCE AND RELATED PROFESSIONALS ;2441;Economists
2;Professionals;24;Other Professionals;244;SOCIAL SCIENCE AND RELATED PROFESSIONALS ;2442;Sociologists, anthropologists and related professionals
2;Professionals;24;Other Professionals;244;SOCIAL SCIENCE AND RELATED PROFESSIONALS ;2443;Philosophers, historians and political scientists
2;Professionals;24;Other Professionals;244;SOCIAL SCIENCE AND RELATED PROFESSIONALS ;2444;Philologists, translators and interpreters
2;Professionals;24;Other Professionals;244;SOCIAL SCIENCE AND RELATED PROFESSIONALS ;2445;Psychologists
2;Professionals;24;Other Professionals;244;SOCIAL SCIENCE AND RELATED PROFESSIONALS ;2446;Social work professionals
2;Professionals;24;Other Professionals;245;WRITERS AND CREATIVE OR PERFORMING ARTISTS ;2451;Authors, journalists and other writers
2;Professionals;24;Other Professionals;245;WRITERS AND CREATIVE OR PERFORMING ARTISTS ;2452;Sculptors, painters and related artists
2;Professionals;24;Other Professionals;245;WRITERS AND CREATIVE OR PERFORMING ARTISTS ;2453;Composers, musicians and singers
2;Professionals;24;Other Professionals;245;WRITERS AND CREATIVE OR PERFORMING ARTISTS ;2454;Choreographers and dancers
2;Professionals;24;Other Professionals;245;WRITERS AND CREATIVE OR PERFORMING ARTISTS ;2455;Film, stage and related actors and directors
2;Professionals;24;Other Professionals;246;RELIGIOUS PROFESSIONALS ;2460;Religious professionals
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3111;Chemical and physical science technicians
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3112;Civil engineering technicians
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3113;Electrical engineering technicians
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3114;Electronics and telecommunications engineering technicians
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3115;Mechanical engineering technicians
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3116;Chemical engineering technicians
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3117;Mining and metallurgical technicians
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3118;Draughtspersons
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;311;PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS ;3119;Physical and engineering science technicians not elsewhere classified
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;312;COMPUTER ASSOCIATE PROFESSIONALS ;3121;Computer assistants
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;312;COMPUTER ASSOCIATE PROFESSIONALS ;3122;Computer equipment operators
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;312;COMPUTER ASSOCIATE PROFESSIONALS ;3123;Industrial robot controllers
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;313;OPTICAL AND ELECTRONIC EQUIPMENT OPERATORS ;3131;Photographers and image and sound recording equipment operators
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;313;OPTICAL AND ELECTRONIC EQUIPMENT OPERATORS ;3132;Broadcasting and telecommunications equipment operators
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;313;OPTICAL AND ELECTRONIC EQUIPMENT OPERATORS ;3133;Medical equipment operators
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;313;OPTICAL AND ELECTRONIC EQUIPMENT OPERATORS ;3139;Optical and electronic equipment operators not elsewhere classified
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;314;SHIP AND AIRCRAFT CONTROLLERS AND TECHNICIANS ;3141;Ships' engineers
3;Technicians and Associate Professionals;31;Physical And Engineering Science Associate Professionals;314;SHIP AND AIRCRAFT CONTROLLERS AND TECHNICIANS ;3142;Ships' deck officers and pilots
