year;isic;ISIC_label;sector;sector_label;ibge_code;ibge_label;newISCO_sector;newISCO_sector_label
2000;30;Manufacturing;;;1320;GERENTES DE ÁREAS DE APOIO;1222;Production and operations department managers in manufacturing
2000;40;Electricity, gas and water;;;1320;GERENTES DE ÁREAS DE APOIO;1319;General managers not elsewhere classified
2000;50;Construction;;;1320;GERENTES DE ÁREAS DE APOIO;1223;Production and operations department managers in construction
2000;60;Wholesale and retail trade;;;1320;GERENTES DE ÁREAS DE APOIO;1314;General managers in wholesale and retail trade
2000;70;Hotels and restaurants;;;1320;GERENTES DE ÁREAS DE APOIO;1315;General managers of restaurants and hotels
2000;80;Transportation and communications;;;1320;GERENTES DE ÁREAS DE APOIO;1316;General managers in transport, storage and communications
2000;90;Financial services and insurance;;;1320;GERENTES DE ÁREAS DE APOIO;1227;Production and operations department managers in business services
2000;100;Public administration and defense;;;1320;GERENTES DE ÁREAS DE APOIO;1319;General managers not elsewhere classified
2000;111;Real estate and business services;;;1320;GERENTES DE ÁREAS DE APOIO;1227;Production and operations department managers in business services
2000;112;Education;;;1320;GERENTES DE ÁREAS DE APOIO;1319;General managers not elsewhere classified
2000;113;Health and social work;;;1320;GERENTES DE ÁREAS DE APOIO;1319;General managers not elsewhere classified
2000;114;Other services;;;1320;GERENTES DE ÁREAS DE APOIO;1319;General managers not elsewhere classified
2000;130;Extra-territorial organizations and bodies;;;1320;GERENTES DE ÁREAS DE APOIO;1319;General managers not elsewhere classified
2000;999;Unknown;;;1320;GERENTES DE ÁREAS DE APOIO;1319;General managers not elsewhere classified
2000;;;90000;"Limpeza urbana e esgoto; e atividades conexas";5142;TRABALHADORES NOS SERVIÇOS DE MANUTENÇÃO E CONSERVAÇÃO DE EDIFÍCIOS E LOGRADOUROS;9161;Garbage collectors
2000;;;55030;Outros serviços de alimentação - exceto ambulantes;1210;DIRETORES GERAIS;1229;Production and operations department managers not elsewhere classified
2000;;;55030;Outros serviços de alimentação - exceto ambulantes;1219;DIRIGENTES DE EMPRESAS - EMPREGADORES COM MAIS DE 5 EMPREGADOS;1229;Production and operations department managers not elsewhere classified
2000;;;55030;Outros serviços de alimentação - exceto ambulantes;1220;DIRETORES DE ÁREAS DE PRODUÇÃO E OPERAÇÕES (DPO);1229;Production and operations department managers not elsewhere classified
2000;;;55030;Outros serviços de alimentação - exceto ambulantes;1310;GERENTES DE PRODUÇÃO E OPERAÇÕES;1319;General managers not elsewhere classified
2010;;;56011;RESTAURANTES E OUTROS ESTABELECIMENTOS DE SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;;;56012;SERVIÇOS DE CATERING, BUFÊ E OUTROS SERVIÇOS DE COMIDA PREPARADA;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;;;56999;ATIVIDADES DE ALIMENTAÇÃO NÃO ESPECIFICADAS;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;10;Agriculture, fishing, and forestry;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1311;General managers in agriculture, hunting, forestry/ and fishing
2010;20;Mining;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;30;Manufacturing;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1222;Production and operations department managers in manufacturing
2010;40;Electricity, gas and water;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;50;Construction;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1223;Production and operations department managers in construction
2010;60;Wholesale and retail trade;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1314;General managers in wholesale and retail trade
2010;70;Hotels and restaurants;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1315;General managers of restaurants and hotels
2010;80;Transportation and communications;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1226;Production and operations department managers in transport, storage and communications
2010;90;Financial services and insurance;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1227;Production and operations department managers in business services
2010;100;Public administration and defense;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1120;Senior government officials
2010;111;Real estate and business services;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;112;Education;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;113;Health and social work;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;114;Other services;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;120;Private household services;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;130;Extra-territorial organizations and bodies;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;999;Unknown;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
2010;0;;;;1120;DIRETORES GERAIS E GERENTES GERAIS;1229;Production and operations department managers not elsewhere classified
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
